"Daily Weather Observations for Melbourne (Olympic Park), Victoria for February 2021"
"Prepared at 13:01 UTC on Tuesday  9 November 2021   IDCJDW3033.202102"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Melbourne (Olympic Park) {station 086338}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-02-1,13.4,20.3,0,,,S,33,21:08,16.9,76,,N,7,1012.8,19.4,69,,S,13,1011.9
,2021-02-2,14.5,19.3,0,,,SSW,41,14:52,16.7,56,,S,15,1016.5,18.2,47,,SSW,20,1017.3
,2021-02-3,13.7,25.9,0,,,SE,33,16:58,16.5,66,,SSE,11,1016.5,24.1,44,,SE,7,1011.1
,2021-02-4,13.5,30.6,0,,,NNW,43,12:58,17.3,72,,NE,7,1005.5,29.2,32,,N,28,1002.7
,2021-02-5,17.3,29.8,0.4,,,NNW,52,10:27,24.1,62,,NNE,19,1000.5,25.9,63,,NNE,24,997.5
,2021-02-6,16.9,25.4,1.6,,,NW,39,11:44,18.6,59,,N,17,998.5,23.7,45,,NW,11,999.5
,2021-02-7,14.7,19.2,1.8,,,SSW,37,11:23,15.5,89,,W,7,1011.5,17.4,69,,S,17,1013.7
,2021-02-8,15.0,19.2,0.4,,,SW,35,13:14,15.9,59,,SSE,13,1017.5,18.5,60,,S,17,1017.6
,2021-02-9,12.0,25.2,0,,,SSW,28,14:00,16.9,71,,SSE,11,1018.4,23.3,50,,SSW,13,1014.5
,2021-02-10,13.8,31.5,0,,,NNW,30,11:22,17.2,77,,NNE,7,1015.1,28.3,43,,SSW,15,1010.5
,2021-02-11,17.2,32.8,0,,,N,46,12:20,24.3,58,,NNE,9,1008.7,31.8,31,,N,22,1004.5
,2021-02-12,17.4,23.3,4.6,,,SSW,28,04:17,17.5,67,,WSW,11,1006.0,21.8,51,,SW,9,1005.3
,2021-02-13,14.7,20.8,0,,,S,35,14:54,17.2,68,,W,6,1012.8,20.3,58,,S,15,1014.8
,2021-02-14,12.7,20.0,0,,,SSW,35,13:52,17.8,56,,SE,9,1019.5,19.3,58,,SSW,19,1019.3
,2021-02-15,14.4,24.6,0,,,SSE,22,07:37,17.0,73,,SSE,9,1022.0,23.0,54,,SSW,11,1019.6
,2021-02-16,15.9,31.3,0,,,N,33,09:27,20.2,67,,NE,9,1021.6,30.2,32,,ENE,7,1019.2
,2021-02-17,16.6,28.8,0,,,SSW,26,14:37,20.1,73,,NE,7,1021.7,27.1,52,,SW,7,1020.3
,2021-02-18,18.1,31.8,0,,,N,46,08:26,22.9,44,,N,26,1022.6,30.0,32,,NNE,9,1019.2
,2021-02-19,18.2,32.6,0,,,N,43,09:32,24.4,44,,N,15,1017.3,31.2,33,,N,22,1013.4
,2021-02-20,20.3,23.8,0,,,SSW,33,16:51,22.2,77,, ,Calm,1013.2,22.0,76,,SSW,11,1011.4
,2021-02-21,17.9,20.6,0,,,S,30,20:43,18.1,87,,ESE,6,1011.4,19.0,75,,SSW,13,1010.6
,2021-02-22,15.9,21.8,0,,,SSW,43,15:24,17.8,71,,WSW,9,1012.3,20.4,52,,S,17,1012.5
,2021-02-23,13.1,19.2,0,,,SSE,43,05:09,16.4,49,,SSE,15,1018.7,18.2,45,,SSW,17,1019.4
,2021-02-24,13.0,20.2,0,,,S,35,13:42,15.3,55,,ESE,9,1020.5,18.5,53,,SSW,19,1017.8
,2021-02-25,11.3,24.3,0,,,SSW,39,19:08,13.4,72,,E,4,1012.8,23.4,37,,W,11,1009.1
,2021-02-26,13.3,19.7,0.4,,,SSW,33,14:18,14.7,64,,WSW,7,1014.5,18.6,49,,S,17,1014.1
,2021-02-27,11.3,18.6,0,,,SSW,20,17:50,13.5,71,,NNE,6,1013.4,17.8,62,,SSW,9,1012.8
,2021-02-28,10.6,26.7,0,,,SW,26,22:57,14.0,77,,NNE,7,1013.4,26.1,38,,SW,9,1010.0
