"Daily Weather Observations for Melbourne (Olympic Park), Victoria for November 2015"
"Prepared at 13:03 GMT on Tuesday  9 August 2016   IDCJDW3033.201511"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Melbourne (Olympic Park) {station 086338}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2015-11-1,16.4,26.0,4.4,,,N,50,07:48,22.5,67,,N,30,1007.7,18.0,83,,SSW,13,1006.6
,2015-11-2,14.5,16.0,0,,,SSW,37,10:11,15.6,80,,W,6,1012.8,15.0,70,,SSW,17,1015.3
,2015-11-3,8.0,17.9,0.2,,,SSW,31,16:51,12.8,54,,SE,13,1019.8,16.1,58,,SSW,15,1017.3
,2015-11-4,10.9,27.2,0,,,SSE,31,14:55,16.2,79,,E,2,1015.4,27.0,48,,SE,17,1010.2
,2015-11-5,16.2,24.7,12.2,,,N,50,13:15,18.1,100,,SE,2,1006.9,18.3,98,,SW,6,1004.5
,2015-11-6,16.6,18.7,17.6,,,SSW,31,21:31,17.0,100,,SW,7,1008.8,17.2,92,,W,9,1010.0
,2015-11-7,11.9,16.8,1.2,,,SSW,44,06:51,13.6,68,,SSW,19,1018.3,16.0,54,,SSW,20,1020.3
,2015-11-8,8.5,24.8,0,,,SSW,20,15:11,14.1,61,,E,4,1022.6,23.3,33,,SSW,4,1019.4
,2015-11-9,13.6,33.1,0,,,N,35,09:27,21.0,47,,NNE,13,1017.1,31.6,26,,N,15,1013.1
,2015-11-10,15.2,16.4,0,,,S,31,11:33,15.7,83,,S,13,1019.5,13.5,79,,S,13,1021.0
,2015-11-11,11.5,20.1,2.0,,,SSW,20,06:48,13.9,74,,SSE,9,1020.6,18.5,63,,SW,7,1017.9
,2015-11-12,13.7,21.2,0,,,S,33,18:02,17.1,80,,NE,2,1016.1,20.6,60,,SSW,13,1013.1
,2015-11-13,13.5,18.2,0.4,,,S,39,12:21,14.0,92,,SW,7,1017.4,17.6,61,,S,19,1017.1
,2015-11-14,12.1,18.3,0.2,,,SSE,37,16:40,14.5,75,,SSW,11,1019.0,17.5,66,,S,17,1017.8
,2015-11-15,13.0,18.5,0.2,,,SSW,37,15:05,14.6,68,,S,9,1021.6,17.9,64,,SSW,17,1019.7
,2015-11-16,11.4,26.3,0.2,,,SSW,24,13:25,16.3,80,,NNW,9,1018.5,22.7,55,,SSW,11,1015.0
,2015-11-17,15.7,33.3,0,,,NNW,56,10:26,23.5,34,,N,19,1012.6,31.8,18,,WNW,15,1008.4
,2015-11-18,14.7,29.5,0,,,N,20,21:34,15.8,80,,SW,7,1014.4,25.8,40,,SW,7,1012.3
,2015-11-19,15.6,31.5,0,,,SSW,46,15:47,25.0,49,,N,13,1011.5,23.1,66,,SSW,11,1012.9
,2015-11-20,15.4,19.1,0.4,,,NNE,35,00:53,17.6,76,,S,7,1012.8,16.8,84,,S,9,1013.5
,2015-11-21,12.2,17.5,3.6,,,SSW,39,12:45,14.7,71,,SW,13,1021.5,16.0,55,,S,22,1022.5
,2015-11-22,13.5,20.0,0,,,S,31,18:17,15.8,58,,SSE,4,1019.7,18.7,44,,S,11,1016.4
,2015-11-23,13.8,20.7,0,,,S,31,14:15,15.4,71,,W,7,1017.0,20.2,53,,SSW,13,1015.8
,2015-11-24,13.6,24.5,0,,,NNW,28,07:58,15.9,63,,NW,11,1017.2,22.0,41,,S,11,1012.5
,2015-11-25,13.5,33.3,0,,,NW,65,14:19,20.9,36,,N,26,1005.5,32.5,17,,NNW,26,996.7
,2015-11-26,10.8,17.4,0,,,SSW,54,15:22,13.1,53,,WSW,13,1006.8,16.2,36,,SW,17,1011.4
,2015-11-27,9.0,18.2,0.4,,,WSW,33,09:31,13.7,53,,W,13,1017.2,17.8,45,,WSW,11,1017.2
,2015-11-28,12.0,20.1,0,,,S,28,17:52,14.9,60,,SSW,6,1018.8,19.0,52,,SSW,13,1015.5
,2015-11-29,12.6,20.3,0,,,SSW,31,15:31,16.5,65,,SW,9,1014.9,19.3,57,,SSW,15,1013.3
,2015-11-30,10.0,32.2,0,,,NW,83,18:16,17.9,58,,NE,11,1009.2,29.7,26,,N,24,1002.9
