"Daily Weather Observations for Adelaide (Kent Town), South Australia for March 2020"
"Prepared at 13:02 UTC on Wednesday 19 August 2020   IDCJDW5002.202003"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"This site is now closed. The "official" Adelaide site is at West Terrace / ngayirdapira."
"This site is now closed. The "official" Adelaide weather observations site is at West Terrace / ngayirdapira {site number 023000}. This Kent Town site is about 2 km east of the city centre."
"Observations were drawn from Adelaide (Kent Town) {station 023090}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-03-1,16.2,30.0,0,,,W,31,09:52,19.2,66,, ,Calm,1008.5,28.4,26,,WNW,11,1007.7
,2020-03-2,14.2,21.7,2.2,,,SE,43,03:05,16.2,56,,SE,11,1017.7,20.9,36,,SE,13,1018.1
,2020-03-3,13.1,20.3,0.2,,,SE,41,00:27,13.8,57,,ESE,17,1019.5,20.0,43,,SE,11,1017.7
,2020-03-4,13.8,26.0,1.6,,,ESE,30,17:10,17.1,77,, ,Calm,1014.2,24.3,39,,ESE,11,1009.8
,2020-03-5,14.4,21.8,0,,,W,31,13:30,17.2,73,,SW,7,1010.1,20.4,56,,WSW,15,1010.2
,2020-03-6,15.5,24.0,0,,,WSW,33,15:04,17.4,72,,S,9,1018.2,22.6,57,,WSW,15,1018.8
,2020-03-7,13.8,25.7,0,,,ESE,39,01:45,17.5,55,,ESE,9,1024.0,24.4,36,,SE,9,1021.9
,2020-03-8,14.6,25.8,0,,,S,31,16:01,18.2,53,,SSE,6,1021.8,24.9,28,,SSE,11,1018.9
,2020-03-9,15.6,25.5,0,,,E,35,06:44,17.9,93,,ESE,15,1021.0,24.3,99,,SE,13,1018.6
,2020-03-10,15.9,30.2,0,,,WSW,26,15:24,22.3,96,,ENE,6,1017.9,29.6,27,,WSW,15,1014.9
,2020-03-11,16.4,33.8,0,,,WSW,30,12:51,22.3,55,, ,Calm,1016.2,32.6,25,,W,11,1014.6
,2020-03-12,22.3,33.3,0,,,E,31,21:15,26.8,33,,NE,6,1016.4,31.5,28,,W,9,1014.6
,2020-03-13,19.6,22.5,0,,,SE,50,15:56,20.3,77,,WSW,9,1017.1,21.1,52,,S,19,1019.6
,2020-03-14,11.8,20.9,0,,,ESE,44,05:02,14.4,47,,ESE,11,1026.3,20.4,31,,SSE,15,1023.6
,2020-03-15,11.8,23.8,0,,,ESE,28,08:48,14.7,51,,ESE,9,1025.8,23.1,31,,SSE,13,1022.8
,2020-03-16,13.7,29.3,0,,,N,28,13:36,19.6,40,,NE,6,1023.6,28.6,19,,NNW,13,1020.8
,2020-03-17,19.6,33.6,0,,,N,35,08:50,25.7,25,,NE,13,1021.3,31.6,15,,NW,11,1019.2
,2020-03-18,19.6,35.0,0,,,W,31,12:47,25.8,29,,NNE,6,1020.9,33.4,17,,WNW,13,1019.3
,2020-03-19,25.1,32.9,0,,,NW,35,10:39,29.7,22,,NNE,13,1018.1,27.4,23,,WSW,17,1019.0
,2020-03-20,17.3,22.9,0,,,WSW,31,15:05,18.7,75,,WSW,17,1022.0,21.7,54,,WSW,15,1021.9
,2020-03-21,11.6,23.5,0,,,WSW,30,13:26,16.8,64,,ESE,6,1024.6,21.9,52,,SW,11,1023.1
,2020-03-22,14.1,22.5,0,,,S,31,12:59,17.6,64,,S,11,1027.4,21.2,41,,SE,15,1026.8
,2020-03-23,12.7,23.3,0,,,SE,46,23:42,14.3,49,,ESE,13,1028.6,21.9,19,,ENE,7,1025.5
,2020-03-24,14.1,19.8,0,,,ESE,37,23:46,17.4,42,,E,7,1023.3,18.4,50,,N,9,1021.7
,2020-03-25,13.1,21.6,0,,,SE,35,15:30,14.7,53,,SE,9,1025.6,20.6,32,,SSE,15,1024.7
,2020-03-26,11.3,24.0,0,,,ESE,26,02:48,14.4,57,, ,Calm,1027.4,23.2,36,,WSW,13,1023.6
,2020-03-27,10.4,28.5,0,,,WSW,26,13:58,14.2,65,, ,Calm,1023.0,26.5,27,,W,15,1019.8
,2020-03-28,11.8,31.7,0,,,W,28,12:51,16.8,44,, ,Calm,1017.0,31.4,15,,WNW,11,1012.9
,2020-03-29,16.7,24.8,0.4,,,WSW,30,10:53,18.5,70,,WSW,2,1009.7,24.4,44,,W,13,1011.0
,2020-03-30,16.0,23.3,0.2,,,WSW,30,02:14,18.0,60,,WSW,9,1016.7,22.0,34,,WSW,13,1016.6
,2020-03-31,12.7,24.1,0,,,ESE,28,22:58,15.6,80,, ,Calm,1019.5,22.7,51,,WSW,9,1016.4
